episode,global_step,ep_reward,ep_length,termination_reason,term_goal,term_battery,term_collision,term_timeout,start_x,start_y,goal_x,goal_y,distance_to_goal,distance_reduction,invalid_move_count,invalid_move_rate,battery_remaining,avg_network_score,avg_rssi,avg_latency,avg_packet_loss,total_outage_steps,route_distance
11,1858,-1343.543981,154,battery_depleted,0,1,0,0,2,3,14,14,15.0,1.278820596099706,46,0.2987012987012987,0.0,0.29759923278116823,-91.3156129032258,,,88,132.85281374238565
12,2021,-842.537826,163,battery_depleted,0,1,0,0,0,7,18,3,7.280109889280518,11.158979025305257,57,0.3496932515337423,0.0,0.34417683964452256,-87.71810975609756,,,77,127.12489168102775
13,2191,-6982.202337,170,battery_depleted,0,1,0,0,2,1,16,17,18.027756377319946,3.232535248149354,63,0.37058823529411766,0.0,0.234215349267396,-96.15842105263158,,,154,126.88225099390847
14,2362,-3823.965279,171,battery_depleted,0,1,0,0,12,7,2,6,10.295630140987,-0.24575451986611085,58,0.3391812865497076,0.0,0.24575426938566475,-91.57755813953489,,,154,135.36753236814704
15,2516,-10030.080947,154,goal_reached,1,0,0,0,11,11,5,3,0.0,10.0,45,0.2922077922077922,4.8440999999999885,0.21131649520488227,-98.78948387096773,,,138,129.29646455628156
16,2626,-2415.521622,110,goal_reached,1,0,0,0,0,3,10,8,0.0,11.180339887498949,49,0.44545454545454544,40.84274999999999,0.22019131924717508,-97.6947747747748,,,93,73.42640687119281
17,2825,-20912.065813,199,battery_depleted,0,1,0,0,3,19,8,5,11.313708498984761,3.552360248333745,104,0.5226130653266332,0.0,0.0972341876876877,-110.93085,,,199,113.22539674441609
18,3011,-18326.980667,186,battery_depleted,0,1,0,0,3,17,17,17,16.0312195418814,-2.0312195418813985,82,0.44086021505376344,0.0,0.08764863419569305,-112.31727272727272,,,186,124.29646455628156
19,3190,-16990.013346,179,battery_depleted,0,1,0,0,16,15,3,11,16.0,-2.398529491264556,71,0.39664804469273746,0.0,0.14516013013013015,-107.45700000000001,,,179,131.61017305526633
20,3366,-4686.792333,176,battery_depleted,0,1,0,0,10,13,8,1,9.433981132056603,2.7315439285398355,73,0.4147727272727273,0.0,0.22286644497604957,-94.57740112994348,,,152,124.53910524340085
21,3535,-2117.508511,169,battery_depleted,0,1,0,0,13,4,19,17,13.601470508735444,0.7163505545409095,54,0.31952662721893493,0.0,0.2667388912441853,-88.10464705882353,,,137,139.43860018001257
22,3727,-1061.967879,192,battery_depleted,0,1,0,0,12,7,14,17,14.035668847618199,-3.83762982043263,93,0.484375,0.0,0.31792991644494234,-80.14383419689118,,,85,120.53910524340084
23,3902,-16240.81649,175,battery_depleted,0,1,0,0,9,19,15,6,12.36931687685298,1.9485041864233725,77,0.44,0.0,0.09269619960869958,-112.82079545454545,,,175,117.88225099390847
24,4081,-16990.222468,179,battery_depleted,0,1,0,0,10,17,3,1,17.46424919657298,0.0,87,0.4860335195530726,0.0,0.07578511177844512,-114.09044444444446,,,179,109.39696961966993
25,4282,-8255.290544,201,battery_depleted,0,1,0,0,0,3,2,19,9.219544457292887,6.904971039304211,116,0.5771144278606966,0.0,0.18858032041942938,-101.35965346534654,,,179,104.88225099390849
26,4434,-1322.603629,152,battery_depleted,0,1,0,0,1,4,1,18,12.165525060596439,1.8344749394035613,36,0.23684210526315788,0.0,0.31264986816882245,-90.15450980392157,,,82,138.3675323681471
27,4619,-18109.984872,185,battery_depleted,0,1,0,0,18,12,19,1,14.0,-2.954638982812739,88,0.4756756756756757,0.0,0.15751071286340104,-105.57182795698925,,,185,122.26702730475867
28,4795,-2648.889601,176,battery_depleted,0,1,0,0,8,5,19,0,9.433981132056603,2.649064841537969,67,0.3806818181818182,0.0,0.30020022791152734,-90.10841807909604,,,125,129.71067811865467
29,4967,-3404.482359,172,battery_depleted,0,1,0,0,12,9,1,3,10.44030650891055,2.089657577231117,62,0.36046511627906974,0.0,0.2545218229790484,-90.44109826589596,,,143,134.0243866176395
30,5138,-2535.37997,171,battery_depleted,0,1,0,0,12,12,2,16,10.0,0.7703296142690075,61,0.3567251461988304,0.0,0.24508848383266987,-95.92674418604652,,,123,132.367532368147
31,5347,-23085.34697,209,battery_depleted,0,1,0,0,3,16,15,13,12.0,0.36931687685298087,113,0.5406698564593302,0.0,0.08392429906096573,-112.82366666666667,,,209,111.32590180780446
