episode,global_step,ep_reward,ep_length,termination_reason,term_goal,term_battery,term_collision,term_timeout,start_x,start_y,goal_x,goal_y,distance_to_goal,distance_reduction,invalid_move_count,invalid_move_rate,battery_remaining,avg_network_score,avg_rssi,avg_latency,avg_packet_loss,total_outage_steps,route_distance
11,4399,-127900.260224,500,timeout,0,0,0,1,6,9,1,6,7.280109889280518,-1.4491579944352173,370,0.74,12.5436499999998,0.16788625291958625,-102.07039920159681,,,500,132.07106781186548
12,4856,-17149.263255,457,battery_depleted,0,1,0,0,12,6,18,10,5.0990195135927845,2.1120830373351938,280,0.612691466083151,0.0,0.26473141722508536,-88.31482532751092,,,354,190.6690475583123
13,5356,-32505.73344,500,timeout,0,0,0,1,18,1,13,7,5.656854249492381,2.1533954264142734,405,0.81,12.407449999999844,0.27485311539083995,-86.95940119760479,,,365,95.0
14,5698,-8419.602957,342,goal_reached,1,0,0,0,11,1,12,6,0.0,5.0990195135927845,168,0.49122807017543857,11.11919999999991,0.2629149195843073,-88.83545189504372,,,300,196.36753236814727
15,5909,-4798.825967,211,goal_reached,1,0,0,0,11,11,5,3,0.0,10.0,106,0.5023696682464455,43.4063499999999,0.3077919886868,-90.5475,,,111,117.01219330881969
16,6377,-112260.28464,468,battery_depleted,0,1,0,0,2,11,7,4,8.94427190999916,-0.34194664295653254,287,0.6132478632478633,0.0,0.13517370141997007,-105.92633262260128,,,468,196.32590180780463
17,6754,-73022.970915,377,battery_depleted,0,1,0,0,19,17,10,14,8.06225774829855,1.424575232206589,164,0.4350132625994695,0.0,0.12969242602390751,-109.99002645502647,,,377,244.48023074035564
18,7250,-76909.745107,496,battery_depleted,0,1,0,0,12,2,11,10,9.219544457292887,-1.157286708994338,333,0.6713709677419355,0.0,0.22552424275382024,-95.38665995975856,,,482,170.0416305603427
19,7663,-15936.036481,413,battery_depleted,0,1,0,0,9,7,12,12,11.045361017187261,-5.21440912234196,222,0.5375302663438256,0.0,0.25710256754338884,-89.56886473429951,,,370,208.81118318204324
20,7728,54.682693,65,goal_reached,1,0,0,0,7,3,2,3,0.0,5.0,37,0.5692307692307692,83.93520000000005,0.3435825203991871,-87.93469696969696,,,7,31.72792206135786
21,8199,-33719.974881,471,battery_depleted,0,1,0,0,11,5,8,9,8.602325267042627,-3.6023252670426267,293,0.6220806794055201,0.0,0.2504056694406271,-91.20502118644067,,,422,192.4974746830585
22,8671,-114189.509648,472,battery_depleted,0,1,0,0,3,11,5,5,8.06225774829855,-1.73770242796179,310,0.6567796610169492,0.0,0.12095406865639423,-107.59602536997886,,,472,175.6690475583122
23,9066,-9106.132556,395,battery_depleted,0,1,0,0,16,4,14,10,3.1622776601683795,3.1622776601683795,185,0.46835443037974683,0.0,0.252727646838758,-90.22272727272727,,,328,236.5096679918783
24,9566,-127864.726916,500,timeout,0,0,0,1,2,11,9,13,5.0,2.280109889280518,358,0.716,3.587649999999699,0.16122227097356837,-102.77393213572854,,,500,152.76955262170046
25,10047,-118476.01642,481,battery_depleted,0,1,0,0,7,10,13,7,14.317821063276353,-7.609617130776984,312,0.6486486486486487,0.0,0.12436089595819885,-107.34790456431534,,,481,183.49747468305836
26,10416,-70078.209689,369,battery_depleted,0,1,0,0,19,13,13,9,11.180339887498949,-3.9692373365709708,145,0.39295392953929537,0.0,0.1304711211211211,-109.86635135135135,,,369,255.06601717798253
27,10902,-11814.811508,486,battery_depleted,0,1,0,0,10,8,5,0,9.433981132056603,0.0,326,0.6707818930041153,0.0,0.29527611122416053,-83.6746406570842,,,307,173.25483399593912
28,11154,-990.188771,252,goal_reached,1,0,0,0,3,1,0,6,0.0,5.830951894845301,94,0.373015873015873,24.02045,0.34915754608363303,-86.97679841897232,,,100,177.88225099390854
29,11318,-14188.111807,164,goal_reached,1,0,0,0,11,16,19,15,0.0,8.06225774829855,75,0.4573170731707317,57.87119999999986,0.12958918069584738,-110.00642424242423,,,164,99.76955262170043
30,11734,-14542.87311,416,battery_depleted,0,1,0,0,7,7,5,15,10.44030650891055,-2.1940952576752295,232,0.5576923076923077,0.0,0.2415946466850544,-93.89268585131894,,,362,204.29646455628176
31,12047,-2840.280854,313,battery_depleted,0,1,0,0,0,5,5,5,5.830951894845301,-0.8309518948453007,117,0.3738019169329074,0.0,0.2860887489400228,-92.20519108280254,,,215,229.55129855222106
