episode,global_step,ep_reward,ep_length,termination_reason,term_goal,term_battery,term_collision,term_timeout,start_x,start_y,goal_x,goal_y,distance_to_goal,distance_reduction,invalid_move_count,invalid_move_rate,battery_remaining,avg_network_score,avg_rssi,avg_latency,avg_packet_loss,total_outage_steps,route_distance
85,8444,-72.72136,100,timeout,0,0,0,1,3,11,0,15,4.47213595499958,0.5278640450004204,58,0.58,9951.756749999973,0.14766140496932575,-104.28821782178217,,,100,44.89949493661167
86,8544,-62.240861,100,timeout,0,0,0,1,0,5,5,6,4.123105625617661,0.9759138879751239,52,0.52,9950.591199999972,0.21905111249863726,-97.34079207920792,,,99,52.556349186104036
87,8644,-59.917961,100,timeout,0,0,0,1,4,3,1,9,5.0,1.7082039324993694,57,0.57,9950.075899999982,0.3449376574594398,-87.49079207920792,,,41,49.21320343559642
88,8744,-59.156827,100,timeout,0,0,0,1,10,12,19,11,7.0710678118654755,1.9843173262719418,59,0.59,9954.88884999998,0.13579645487071232,-106.46683168316828,,,100,43.071067811865476
89,8844,-53.928746,100,timeout,0,0,0,1,11,10,6,4,6.4031242374328485,1.4071254384738054,48,0.48,9949.28904999998,0.17602540064817293,-101.28108910891092,,,100,58.62741699796952
90,8944,-18.202232,100,timeout,0,0,0,1,11,5,14,11,2.8284271247461903,3.879776807753179,37,0.37,9944.489999999976,0.254722873368418,-90.1281188118812,,,96,69.6274169979695
91,9044,-75.5373,100,timeout,0,0,0,1,5,10,10,14,5.656854249492381,0.746269987940468,63,0.63,9958.645499999984,0.16794539093548994,-102.01188118811882,,,100,37.0
92,9144,-58.278277,100,timeout,0,0,0,1,4,10,0,15,5.830951894845301,0.5721723425875478,44,0.44,9946.667749999988,0.13276138316534355,-106.2027722772277,,,100,62.21320343559641
93,9244,-73.009805,100,timeout,0,0,0,1,16,1,11,0,5.0,0.09901951359278449,54,0.54,9951.22394999997,0.24099435673297057,-92.66099009900991,,,100,48.89949493661166
94,9318,128.845553,74,goal_reached,1,0,0,0,4,0,2,6,0.0,6.324555320336759,27,0.36486486486486486,9957.833199999985,0.22058383450116784,-97.2104,,,73,53.21320343559641
